2017-12-4-1-13-40    UserID [36]    Transaction Complete 
2017-12-4-1-13-40    UserID [9]    Transaction Complete 
2017-12-4-1-13-40    UserID [23]    Transaction Complete 
2017-12-4-1-13-40    UserID [7]    Transaction Complete 
2017-12-4-1-13-40    UserID [45]    Transaction Complete 
2017-12-4-1-13-40    UserID [37]    Transaction Complete 
2017-12-4-1-13-40    UserID [42]    Transaction Complete 
2017-12-4-1-13-40    UserID [10]    Transaction Complete 
2017-12-4-1-13-41    UserID [49]    Transaction Complete 
2017-12-4-1-13-41    UserID [31]    Transaction Complete 
2017-12-4-1-13-41    UserID [30]    Transaction Complete 
2017-12-4-1-13-41    UserID [5]    Transaction Complete 
2017-12-4-1-13-41    UserID [8]    Transaction Complete 
2017-12-4-1-13-41    UserID [21]    Transaction Complete 
2017-12-4-1-13-41    UserID [29]    Transaction Complete 
2017-12-4-1-13-41    UserID [22]    Transaction Complete 
2017-12-4-1-13-41    UserID [41]    Transaction Complete 
2017-12-4-1-13-41    UserID [20]    Transaction Complete 
2017-12-4-1-13-41    UserID [15]    Transaction Complete 
2017-12-4-1-13-41    UserID [44]    Transaction Complete 
2017-12-4-1-13-41    UserID [1]    Transaction Complete 
2017-12-4-1-13-41    UserID [25]    Transaction Complete 
2017-12-4-1-13-41    UserID [17]    Transaction Complete 
2017-12-4-1-13-41    UserID [3]    Transaction Complete 
2017-12-4-1-13-41    UserID [26]    Transaction Complete 
2017-12-4-1-13-41    UserID [14]    Transaction Complete 
2017-12-4-1-13-41    UserID [16]    Transaction Complete 
2017-12-4-1-13-41    UserID [0]    Transaction Complete 
2017-12-4-1-13-41    UserID [19]    Transaction Complete 
2017-12-4-1-13-41    UserID [12]    Transaction Complete 
2017-12-4-1-13-41    UserID [24]    Transaction Complete 
2017-12-4-1-13-41    UserID [6]    Transaction Complete 
2017-12-4-1-13-41    UserID [48]    Transaction Complete 
2017-12-4-1-13-41    UserID [28]    Transaction Complete 
2017-12-4-1-13-41    UserID [34]    Transaction Complete 
2017-12-4-1-13-41    UserID [38]    Transaction Complete 
2017-12-4-1-13-41    UserID [33]    Transaction Complete 
2017-12-4-1-13-41    UserID [2]    Transaction Complete 
2017-12-4-1-13-41    UserID [13]    Transaction Complete 
2017-12-4-1-13-41    UserID [11]    Transaction Complete 
2017-12-4-1-13-41    UserID [43]    Transaction Complete 
2017-12-4-1-13-41    UserID [18]    Transaction Complete 
2017-12-4-1-13-41    UserID [27]    Transaction Complete 
2017-12-4-1-13-41    UserID [35]    Transaction Complete 
2017-12-4-1-13-41    UserID [32]    Transaction Complete 
2017-12-4-1-13-41    UserID [47]    Transaction Complete 
2017-12-4-1-13-41    UserID [39]    Transaction Complete 
2017-12-4-1-13-41    UserID [40]    Transaction Complete 
2017-12-4-1-13-41    UserID [4]    Transaction Complete 
2017-12-4-1-13-41    UserID [46]    Transaction Complete 
2017-12-4-1-13-41    UserID [36]    Transaction Complete 
2017-12-4-1-13-42    UserID [9]    Transaction Complete 
2017-12-4-1-13-42    UserID [23]    Transaction Complete 
2017-12-4-1-13-42    UserID [4]    Transaction Complete 
2017-12-4-1-13-42    UserID [7]    Transaction Complete 
